1 H Hydrogen            Discovery:1776\nElectronConfig:1s1
2 He Helium             Discovery:1895\nElectronConfig:1s2
3 Li Lithium            Discovery:1817\nElectronConfig:[He]2s1
4 Be Beryllium          Discovery:1797\nElectronConfig:[He]2s2
5 B Boron               Discovery:1808\nElectronConfig:[He]2s2,2p1
6 C Carbon              Discovery:ancient\nElectronConfig:[He]2s2,2p2
7 N Nitrogen            Discovery:1772\nElectronConfig:[He]2s2,2p3
8 O Oxygen              Discovery:1774\nElectronConfig:[He]2s2,2p4
9 F Fluorine            Discovery:1886\nElectronConfig:[He]2s2,2p5
10 Ne Neon              Discovery:1898\nElectronConfig:[He]2s2,2p6
11 Na Sodium            Discovery:1807\nElectronConfig:[Ne]3s1
12 Mg Magnesium         Discovery:1755\nElectronConfig:[Ne]3s2
13 Al Aluminum          Discovery:1825\nElectronConfig:[Ne]3s2,3p1
14 Si Silicon           Discovery:1824\nElectronConfig:[Ne]3s2,3p2
15 P Phosphorus         Discovery:1669\nElectronConfig:[Ne]3s2,3p3
16 S Sulfur             Discovery:ancient\nElectronConfig:[Ne]3s2,3p4
17 Cl Chlorine          Discovery:1774\nElectronConfig:[Ne]3s2,3p5
18 Ar Argon             Discovery:1894\nElectronConfig:[Ne]3s2,3p6
19 K Potassium          Discovery:1807\nElectronConfig:[Ar]4s1
20 Ca Calcium           Discovery:1808\nElectronConfig:[Ar]4s2
21 Sc Scandium          Discovery:1879\nElectronConfig:[Ar]3d1,4s2
22 Ti Titanium          Discovery:1791\nElectronConfig:[Ar]3d2,4s2
23 V Vanadium           Discovery:1830\nElectronConfig:[Ar]3d3,4s2
24 Cr Chromium          Discovery:1797\nElectronConfig:[Ar]3d5,4s1
25 Mn Manganese         Discovery:1774\nElectronConfig:[Ar]3d5,4s2
26 Fe Iron              Discovery:ancient\nElectronConfig:[Ar]3d6,4s2
27 Co Cobalt            Discovery:1735\nElectronConfig:[Ar]3d7,4s2
28 Ni Nickel            Discovery:1751\nElectronConfig:[Ar]3d8,4s2
